[2023-08-17 09:45:30][__main__.py][L41][INFO]dataset:
  name: fc_large
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_large_data.npy
  node_sz: 400
  node_feature_sz: 400
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: GAT
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 2
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-17 09:45:30][__init__.py][L15][INFO]cfg.dataset.name: fc_large
GAT(
  (convs): ModuleList(
    (0): GATConv(400, 64, heads=1)
    (1): GATConv(64, 64, heads=1)
  )
  (readout_lin): Linear(in_features=25600, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-17 09:45:38][optimizer.py][L66][INFO]Parameters [normal] length [12]
[2023-08-17 09:45:38][__init__.py][L25][INFO]Training: Train
[2023-08-17 09:45:39][Train.py][L35][INFO]#model params: 1668609
Starting training...
[2023-08-17 09:45:40][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.706 | Train Accuracy: 51.233% | Test Loss: 0.666 | Test Accuracy: 59.756% | Test AUC:0.6865 | Test Sen:0.4667 | Test Spe:0.7568 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | Best Test Accuracy: 59.756% | Best Test AUC:0.6865 | Best Test Sensitivity:0.4667 | Best Test Specificity:0.7568 | LR:0.0000982
[2023-08-17 09:45:42][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.658 | Train Accuracy: 63.836% | Test Loss: 0.640 | Test Accuracy: 63.415% | Test AUC:0.7015 | Test Sen:0.6444 | Test Spe:0.6216 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 63.415% | Best Test AUC:0.7015 | Best Test Sensitivity:0.6444 | Best Test Specificity:0.6216 | LR:0.0000964
[2023-08-17 09:45:44][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.636 | Train Accuracy: 65.616% | Test Loss: 0.683 | Test Accuracy: 52.439% | Test AUC:0.7129 | Test Sen:0.2222 | Test Spe:0.8919 | Test F1:0.5244 | Test Recall:0.5244 | Test Precision:0.5244 | Best Test Accuracy: 63.415% | Best Test AUC:0.7015 | Best Test Sensitivity:0.6444 | Best Test Specificity:0.6216 | LR:0.0000947
[2023-08-17 09:45:46][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.611 | Train Accuracy: 68.493% | Test Loss: 0.649 | Test Accuracy: 59.756% | Test AUC:0.7333 | Test Sen:0.3778 | Test Spe:0.8649 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | Best Test Accuracy: 63.415% | Best Test AUC:0.7015 | Best Test Sensitivity:0.6444 | Best Test Specificity:0.6216 | LR:0.0000929
[2023-08-17 09:45:48][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.590 | Train Accuracy: 69.178% | Test Loss: 0.591 | Test Accuracy: 71.951% | Test AUC:0.7610 | Test Sen:0.8222 | Test Spe:0.5946 | Test F1:0.7195 | Test Recall:0.7195 | Test Precision:0.7195 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000912
[2023-08-17 09:45:50][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.551 | Train Accuracy: 73.973% | Test Loss: 0.632 | Test Accuracy: 67.073% | Test AUC:0.7580 | Test Sen:0.5111 | Test Spe:0.8649 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000895
[2023-08-17 09:45:52][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.521 | Train Accuracy: 76.301% | Test Loss: 0.586 | Test Accuracy: 69.512% | Test AUC:0.7652 | Test Sen:0.6889 | Test Spe:0.7027 | Test F1:0.6951 | Test Recall:0.6951 | Test Precision:0.6951 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000878
[2023-08-17 09:45:54][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.492 | Train Accuracy: 78.356% | Test Loss: 0.573 | Test Accuracy: 69.512% | Test AUC:0.7622 | Test Sen:0.7778 | Test Spe:0.5946 | Test F1:0.6951 | Test Recall:0.6951 | Test Precision:0.6951 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000862
[2023-08-17 09:45:55][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.456 | Train Accuracy: 79.452% | Test Loss: 0.634 | Test Accuracy: 67.073% | Test AUC:0.7592 | Test Sen:0.5111 | Test Spe:0.8649 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000845
[2023-08-17 09:45:57][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.442 | Train Accuracy: 79.315% | Test Loss: 0.584 | Test Accuracy: 68.293% | Test AUC:0.7586 | Test Sen:0.6667 | Test Spe:0.7027 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000829
[2023-08-17 09:45:59][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.408 | Train Accuracy: 84.384% | Test Loss: 0.600 | Test Accuracy: 68.293% | Test AUC:0.7544 | Test Sen:0.6444 | Test Spe:0.7297 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000813
[2023-08-17 09:46:01][Train.py][L163][INFO]Epoch[12/100] | Train Loss: 0.381 | Train Accuracy: 84.384% | Test Loss: 0.623 | Test Accuracy: 68.293% | Test AUC:0.7514 | Test Sen:0.6000 | Test Spe:0.7838 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000797
[2023-08-17 09:46:03][Train.py][L163][INFO]Epoch[13/100] | Train Loss: 0.342 | Train Accuracy: 85.616% | Test Loss: 0.757 | Test Accuracy: 64.634% | Test AUC:0.7514 | Test Sen:0.4667 | Test Spe:0.8649 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000781
[2023-08-17 09:46:05][Train.py][L163][INFO]Epoch[14/100] | Train Loss: 0.333 | Train Accuracy: 86.849% | Test Loss: 0.645 | Test Accuracy: 69.512% | Test AUC:0.7532 | Test Sen:0.6222 | Test Spe:0.7838 | Test F1:0.6951 | Test Recall:0.6951 | Test Precision:0.6951 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000766
[2023-08-17 09:46:07][Train.py][L163][INFO]Epoch[15/100] | Train Loss: 0.303 | Train Accuracy: 89.452% | Test Loss: 0.680 | Test Accuracy: 68.293% | Test AUC:0.7526 | Test Sen:0.6000 | Test Spe:0.7838 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000750
[2023-08-17 09:46:09][Train.py][L163][INFO]Epoch[16/100] | Train Loss: 0.276 | Train Accuracy: 89.315% | Test Loss: 0.690 | Test Accuracy: 70.732% | Test AUC:0.7471 | Test Sen:0.6444 | Test Spe:0.7838 | Test F1:0.7073 | Test Recall:0.7073 | Test Precision:0.7073 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000735
[2023-08-17 09:46:11][Train.py][L163][INFO]Epoch[17/100] | Train Loss: 0.262 | Train Accuracy: 91.096% | Test Loss: 0.692 | Test Accuracy: 71.951% | Test AUC:0.7544 | Test Sen:0.6667 | Test Spe:0.7838 | Test F1:0.7195 | Test Recall:0.7195 | Test Precision:0.7195 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000720
[2023-08-17 09:46:13][Train.py][L163][INFO]Epoch[18/100] | Train Loss: 0.234 | Train Accuracy: 92.055% | Test Loss: 0.691 | Test Accuracy: 69.512% | Test AUC:0.7477 | Test Sen:0.7556 | Test Spe:0.6216 | Test F1:0.6951 | Test Recall:0.6951 | Test Precision:0.6951 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000705
[2023-08-17 09:46:14][Train.py][L163][INFO]Epoch[19/100] | Train Loss: 0.242 | Train Accuracy: 89.589% | Test Loss: 0.866 | Test Accuracy: 68.293% | Test AUC:0.7514 | Test Sen:0.5111 | Test Spe:0.8919 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 71.951% | Best Test AUC:0.7610 | Best Test Sensitivity:0.8222 | Best Test Specificity:0.5946 | LR:0.0000690
